oblast,town,name,category,description,address
Волинська область,Луцьк,"ГО ""Центр громадської освіти""",Консультаційні та освітні центри,"Центр громадської освіти здійснює діяльність у сфері бізнес-освіти для малого та середнього бізнесу через проведення тренінгів, семінарів та зустрічей, які допомагають не лише в отриманні знань та навичок для розвитку власної справи, а й формують якісне бізнес-середовище Волинської області.","м. Луцьк, вул. Коперника, 8А, 3 пов., оф. 13"
Запорізька область,Запоріжжя,"ГО ""Агенція місцевого розвитку міста Енергодар"" ",Агенції регіонального та місцевого розвитку,"Агенція створена для сприяння соціально-економічного, освітнього, культурного, екологічного та іншого розвитку громади, підвищенню якості єиття населення шляхом розшрення та налагодження ефективної співпраці між владою, бізнесом, мітцями, науковцями та громадою; шляхом реалізації соціальних, культурних, економічних та освітніх проєктів та програм; сприяння залученню додаткових інвестицій, у тому числі і для впровадження нових технологій у сфері життя населення та інше.","м. Енергодар, вул. Курчатова, 11, каб. 216"
Львівська область,Львів,Агенція місцевого економічного розвитку Кам’янка-Бузького району,Агенції регіонального та місцевого розвитку,"Місцевий економічний розвиток: участь у стратегічному планування розвитку району; проведення навчальних програм, семінарів, конференцій; розвиток громади через промоцію спорту, туризму та історико-культурної спадщини. Розвиток бізнесу: промоція регіону серед потенційних інвесторів; розробка інвестиційних паспортів територій; підтримка іноземних інвесторів, допомога при плануванні та здійсненні інвестицій; реалізація навчальних програм для бізнесу; консультування бізнесу.","м. Львів, вул. І. Франка 16/6"
Київська область,Боярка,"ГО Організація роботодавців ""Асоціація роботодавців у галузі франчайзингу""",Об'єднання підприємців,"29 грудня 2001 року розпочала свою діяльність Асоціація франчайзингу України. Її завдання – представляти інтереси підприємців та їх операторів, які використовують франчайзингові договори, на урядовому рівні, надавати їм практичну допомогу при організації та просуванні на ринку. Одночасно з діяльністю в середині країни, Асоціація встановлює зв'язки з іноземними асоціаціями, вивчає франчайзинговий досвід інших країн.","Поштова адреса: м. Боярка, вулиця Гоголя, 53/25-3"
Вінницька область,Вінниця,"ГО ""Українська платформа ""Жінки в бізнесі""",Об'єднання підприємців,"Українська платформа “Жінки в бізнесі» створена з метою об’єднання жінок-підприємиць, жінок-лідерок, представниць жіночих бізнес-асоціацій. Платформа має на меті стати опорою та рушійною силою для розвитку й популяризації жіночого підприємництва в Україні. Це майданчик для нових знайомств, розвитку та навчання, нетворкінгу, взаємної підтримки, обміну досвідом, генерування нових ідей, реалізації спільних проєктів та менторства.","м. Вінниця, вул. Івана Богуна, 2, оф. 315"
Луганська область,Сєвєродонецьк,Луганська регіональна торгово-промислова палата,Торгово-промислові палати,"Луганська РТПП є недержавною неприбутковою самоврядною організацією, яка об'єднує юридичних осіб, що створені і діють відповідно до законодавства України, та громадян України, зареєстрованих як підприємці, та їх об'єднання, і функціонує відповідно до Закону України «Про торгово-промислові палати в Україні». Створена з метою сприяння розвиткові народного господарства та національної економіки, її інтеграції у світову господарську систему та інше.","м. Сєвєродонецьк, пр-т Хіміків, 48А"
Рівненська область,Смига,"ГО ""Агенція розвитку громад ""Інтонація ЗМІН""",Консультаційні та освітні центри,"Громадська організація створена для підтримки та розвитку мікро-, малого та середнього бізнесу у сільській місцевості вразливими категоріями населення, в першу чергу сільських жінок, започаткування власної справи у сфері креативних індустрій, розвитку молодіжного соціального підприємництва на території громад. ""Інтонація ЗМІН"" створена молодими жінками для жінок, які хочуть розвиватися та розвивати свої громади, вчити дітей та підлітків фінансової грамотності тощо.","Дубенський район, смт Смига, вул. Заводська, 3а"
Донецька область,Бахмут,"ГО ""Агенція зі сталого розвитку та інновацій""",Агенції регіонального та місцевого розвитку,"Головна мета організації - сприяння реалізації цілей сталого та інноваційного розвитку регіону та України у цілому, підвищення конкурентоспроможності та інвестиційної привабливості. Напрямки роботи: <br />
-  проєктний супровід представників малого бізнесу, консалтинг об'єднань підприємців у сумісній діяльності;<br />
- аналітична робота щодо можливостей розвитку територій ОТГ;<br />
- навчання з питань технічних стандартів, експорту зовнішніх ринків.","м. Бахмут, вул. Різдвяна, 6/2"
Львівська область,Львів,"Громадська спілка ""Західноукраїнський кластер індустрії моди""",Кластери,"Кластер є об'єднанням підприємців галузі легкої промисловості, представників освіти, влади та суміжних галузей. Учасники кластера активно комунікують та діють спільно для досягнення успіху.","м. Львів, вул. Тобілевича, 8"
Чернігівська область,Чернігів,"Державна організація ""Регіональний фонд підтримки підприємництва по Чернігівській області""",Фонди підтримки підприємництва,"ДО ""РФПП по Чернігівській області"" надає фінансово-кредитну підтримку суб'єктам МСП, послуги консультаційно-інформаційного характеру, проводить навчання, тренінги, семінари з питань створення та ведення бізнесу.","м. Чернігів, вул. Преображенська, 12"
