Область,Район,Назва,Категорія,Рік,Кількість населених пунктів,Площа,Населення,Створена,Кількість рад у 2020 році,Перелік всіх рад у 2020 році
Вінницька область,Вінницький район,Іллінецька територіальна громада,міська,2020,30,469.3,21374,28.08.2016,13,"Іллінецька міська рада, Іллінецька сільська рада, Бабинська сільська рада, Василівська сільська рада, Жаданівська сільська рада, Жорницька сільська рада, Красненьківська сільська рада, Павлівська сільська рада, Паріївська сільська рада, Слободищенська сільська рада, Тягунська сільська рада, Хрінівська сільська рада, Якубівська сільська рада"
Вінницька область,Вінницький район,Агрономічна територіальна громада,сільська,2020,6,86.1,9304,25.10.2020,4,"Агрономічна сільська рада, Ільківська сільська рада, Бохоницька сільська рада, Медвежо-Вушківська сільська рада"
Вінницька область,Вінницький район,Вороновицька територіальна громада,селищна,2020,21,373.5,17230,18.12.2016,13,"Вороновицька селищна рада, Гуменська сільська рада, Жабелівська сільська рада, Комарівська сільська рада, Оленівська сільська рада, Побережненська сільська рада, Степанівська сільська рада, Воловодівська сільська рада, Обідненська сільська рада, Довгополівська сільська рада, Марківська сільська рада, Тростянецька сільська рада, Шендерівська сільська рада"
Вінницька область,Вінницький район,Вінницька територіальна громада,міська,2020,9,256.6,388204,25.10.2020,8,"Вінницька міська рада, Деснянська селищна рада, Великокрушлинецька сільська рада, Вінницько-Хутірська сільська рада, Гавришівська сільська рада, Малокрушлинецька сільська рада, Писарівська сільська рада, Стадницька сільська рада"
Вінницька область,Вінницький район,Гніванська територіальна громада,міська,2020,11,244.5,18697,29.10.2017,5,"Гніванська міська рада, Ворошилівська сільська рада, Селищенська сільська рада, Демидівська сільська рада, Потоківська сільська рада"
Вінницька область,Вінницький район,Липовецька територіальна громада,міська,2020,39,614.8,20669,25.10.2020,18,"Липовецька міська рада, Іваньківська сільська рада, Богданівська сільська рада, Вербівська сільська рада, Війтовецька сільська рада, Зозівська сільська рада, Зозівківська сільська рада, Лозуватська сільська рада, Лукашівська сільська рада, Нападівська сільська рада, Попівська сільська рада, Росошанська сільська рада, Скитківська сільська рада, Славнянська сільська рада, Струтинська сільська рада, Трощанська сільська рада, Щасливська сільська рада, Очитківська сільська рада"
Вінницька область,Вінницький район,Лука-Мелешківська територіальна громада,сільська,2020,13,166.2,11239,29.10.2017,7,"Луко-Мелешківська сільська рада, Іванівська сільська рада, Парпуровецька сільська рада, Сокиринецька сільська рада, Хижинецька сільська рада, Пилявська сільська рада, Яришівська сільська рада"
Вінницька область,Вінницький район,Літинська територіальна громада,селищна,2020,36,587.4,21449,30.06.2019,14,"Літинська селищна рада, Івчанська сільська рада, Багриновецька сільська  рада, Бруслинівська сільська рада, Бірківська сільська рада, Горбовецька сільська рада, Громадська сільська рада, Дяковецька сільська рада, Кулизька сільська рада, Літинецька сільська рада, Малинівська сільська рада, Осолинська сільська рада, Селищенська сільська рада, Соснівська сільська рада"
Вінницька область,Вінницький район,Немирівська територіальна громада,міська,2020,53,676.9,28472,18.12.2016,21,"Немирівська міська рада, Байраківська сільська рада, Боблівська сільська рада, Бондурівська сільська рада, Великобушинська сільська рада, Воробіївська сільська рада, Головеньківська сільська рада, Зарудинецька сільська рада, Ковалівська сільська рада, Криковецька сільська рада, Кудлаївська сільська рада, Медвежанська сільська рада, Муховецька сільська рада, Никифоровецька сільська рада, Кіровська сільська рада, Рубанська сільська рада, Сокілецька сільська рада, Сподахівська сільська рада, Стрільчинецька сільська рада, Чуківська сільська рада, Язвинківська сільська рада"
Вінницька область,Вінницький район,Оратівська територіальна громада,селищна,2020,52,837.4,18782,18.12.2016,27,"Оратівська селищна рада, Балабанівська сільська рада, Великоростівська сільська рада, Животівська сільська рада, Зарудянська сільська рада, Кожанська сільська рада, Кошланівська сільська рада, Лопатинська сільська рада, Медівська сільська рада, Новоживотівська сільська рада, Оратівська сільська рада, Осичнянська сільська рада, Підвисоцька сільська рада, Рожичнянська сільська рада, Сабарівська сільська рада, Скальська сільська рада, Скоморошківська сільська рада, Сологубівська сільська рада, Стрижаківська сільська рада, Угарівська сільська рада, Фронтівська сільська рада, Чагівська сільська рада, Чернявська сільська рада, Човновицька сільська рада, Юшківецька сільська рада, Яблуновицька сільська рада, Якимівська сільська рада"
