lat,lng,title
50.7453080,25.3199020,"Молодіжна рада Луцька<br/>м. Луцьк<br/>youth.council.of.lutsk@gmail.com<br/>43000, Волинська область, м. Луцьк, вул. Богдана Хмельницького, 19<br/>+380951519491"
50.7877719,24.3365832,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/bm3Vv3EwN3Ub.jpg"" /></div>Зимнівська Молодіжна рада<br/>molodizhna.rada.zumne@gmail.com<br/>44752 Волинська обл. Володимир-Волинський р-н. с.Зимне вул. Миру 1<br/><a href=""https://www.facebook.com/%D0%97%D0%B8%D0%BC%D0%BD%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0-%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%B6%D0%BD%D0%B0-%D1%80%D0%B0%D0%B4%D0%B0-352919425514965/?ref=bookmarks"">Перейти на сайт</a><br/>+380631878957"
48.7034000,26.5786690,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/yOYLguPyg3OQ.jpeg"" /></div>Кам’янець-Подільська Молодіжна рада<br/>molodradakp@gmail.com<br/>32300 Майдан Відродження 1<br/><a href=""https://www.facebook.com/%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%B6%D0%BD%D0%B0-%D1%80%D0%B0%D0%B4%D0%B0-%D0%BC%D0%9A%D0%B0%D0%BC%D1%8F%D0%BD%D1%86%D1%8F-%D0%9F%D0%BE%D0%B4%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-2023248937886599/"">Перейти на сайт</a><br/>+380984206508"
51.2987150,24.4316250,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/j2zLFc7RLXly.jpg"" /></div>Смідинська Молодіжна рада<br/>smidinskamolodziznarada@gmail.com<br/>44453, Волинська обл, Старовижівський р-н, с.Смідин, вул. Незалежності 25<br/><a href=""«http://smidynotg.gov.ua/smidynska-molodizhna-rada»"">Перейти на сайт</a><br/>380686902522, 380680594292, 380951532304"
50.6381950,24.1901540,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/uKfvzJ6SuUGi.png"" /></div>Литовезька молодіжна рада<br/>lytovezka.mr@gmail.com<br/>45325, Волинська область, Іваничівський район, село Литовеж, вулиця Володимира Якобчука, 11<br/><a href=""http://lotg.gov.ua/molodizhna-rada/"">Перейти на сайт</a><br/>+38(063)8993460"
50.8620985,24.1568120,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/EZgGGqfwExJF.jpg"" /></div>Устилуська молодіжна рада<br/>ustulyg.mr014@gmail.com<br/>44731,Волинська область,Володимер-Волинський район,м.Устилуг<br/>380636686204"
48.5001180,25.1595770,"Матеївецька Молодіжна рада<br/>pustovarroman@gmail.com<br/>72286<br/><a href=""-"">Перейти на сайт</a><br/>+380680502665"
48.5001190,25.1552000,Матеївецька Молодіжна рада<br/>pustovarroman@gmail.com<br/>72286<br/>+380680502665
48.5205860,24.8913900,"Печеніжинська молодіжна рада<br/>p_molrada@ukr.net<br/>74274, Івано-Франківська обл., Коломийський район, смт. Печеніжин, вул. Незалежності, 15<br/><a href=""http://pnotg.if.ua/ukr/2017-11-10-13-35-04"">Перейти на сайт</a><br/>+380 (97) 100 54 57"
48.5061820,24.9982020,"<div style=""float: left; margin-right: 15px;""><img style=""max-width: 150px;"" src=""http://youthcouncil.com.ua/storage/logo/UMa7WGMbt04p.png"" /></div>Нижньовербізька молодіжна рада<br/>nwerbizh@ukr.net<br/>78218, вул. Довбуша, 1, с. Нижній Вербіж, Коломийський район, Івано-Франківська область<br/><a href=""https://www.facebook.com/nvhromadamolodizhna/"">Перейти на сайт</a><br/>+380976637587"
