,lat,long,name,meta
0,lat,lng,title,
1,50.7453080,25.3199020,Молодіжна рада Луцька,
2,50.7877719,24.3365832,Зимнівська Молодіжна рада,https://www.facebook.com/%D0%97%D0%B8%D0%BC%D0%BD%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0-%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%B6%D0%BD%D0%B0-%D1%80%D0%B0%D0%B4%D0%B0-352919425514965/?ref=bookmarks
3,48.7034000,26.5786690,Кам’янець-Подільська Молодіжна рада,https://www.facebook.com/%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%B6%D0%BD%D0%B0-%D1%80%D0%B0%D0%B4%D0%B0-%D0%BC%D0%9A%D0%B0%D0%BC%D1%8F%D0%BD%D1%86%D1%8F-%D0%9F%D0%BE%D0%B4%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-2023248937886599/
4,51.2987150,24.4316250,Смідинська Молодіжна рада,«http://smidynotg.gov.ua/smidynska-molodizhna-rada»
5,50.6381950,24.1901540,Литовезька молодіжна рада,http://lotg.gov.ua/molodizhna-rada/
6,50.8620985,24.1568120,Устилуська молодіжна рада,
7,48.5001180,25.1595770,Матеївецька Молодіжна рада,-
8,48.5001190,25.1552000,Матеївецька Молодіжна рада,
9,48.5205860,24.8913900,Печеніжинська молодіжна рада,http://pnotg.if.ua/ukr/2017-11-10-13-35-04
10,48.5061820,24.9982020,Нижньовербізька молодіжна рада,https://www.facebook.com/nvhromadamolodizhna/
11,48.4647170,35.0461830,Молодіжна рада Дніпра,https://www.facebook.com/molradadnipra/
12,49.5491030,25.5912929,Молодіжна міська рада при Тернопільській міській раді,https://www.facebook.com/molodizna.rada.te/
13,48.1693040,25.0439540,Білоберізька молодіжна рада,https://www.facebook.com/berizkapeeps/
14,50.5187500,30.2397830,Ірпінська молодіжна громадська рада,https://www.facebook.com/irpmgr/
15,49.2520220,24.6333430,Бурштинська Молодіжна Рада,https://www.facebook.com/groups/251616878703310/
16,48.2638545,36.8380169,Райпільська Молодіжна рада,fecabook
17,48.2638545,36.8380169,Райпільська Молодіжна рада,395127524574315/?modal=admin_todo_tour
18,49.5491030,25.5912929,Молодіжна міська рада при Тернопільській міській раді,https://www.facebook.com/molodizna.rada.te/
19,46.6462230,32.6180770,Молодіжна рада при Херсонському міському голові,https://ums.ks.ua/pro-upravlinnya/molodizhna-rada-pry-hersonskomu-miskomu-golovi/
20,50.5484610,30.2168270,Молодіжна рада Бучанської об‘єднаної територіальної громади,
21,47.5320771,31.3250761,Прибужанівська молодіжна рада,
22,47.6310165,30.9856310,Доманівська молодіжна рада,
23,51.7754830,32.2595790,Корюківська молодіжна рада,https://www.facebook.com/groups/285982301875580/
24,47.9056320,30.7834070,"""Кодимська молодь"" Кам'яномостівської сільської ради",https://kodymskamolod.blogspot.com/
25,49.8174710,24.1453930,Винниківська молодіжна рада,http://vynnyky-rada.gov.ua/
26,50.0798000,29.9163000,Молодіжна Рада Фастова,
27,49.2996220,25.6887530,Молодіжна міська рада міста Теребовля,https://terebotg.in.ua/partneru/molodizhna-miska-rada/
28,50.5629730,30.0891940,Немішаївський Молодіжний Парламент,http://nem-rada.gov.ua/category/molodizhnyy-parlament/
29,48.8868910,26.8481870,Дунаєвецька Молодіжна рада,https://www.facebook.com/dunaivtsi.mr/
30,49.4523240,39.6201510,Молодіжна рада при Кризькій сільській раді,https://www.facebook.com/groups/276331782906662/
31,48.6923190,26.5741690,Кам'янець-Подільська Молодіжна рада міста,https://www.facebook.com/pg/molodradakp/about/?ref=page_internal
32,47.9481300,34.7750150,Молодіжна громадська рада при виконавчому комітеті Преображенського сільської ради,
33,50.6169270,26.1999520,Молодіжна міська рада Рівного,
34,47.9150670,31.3092570,Арбузинська Молодіжна рада,
35,48.6463780,31.6321370,Маловисківська Молодіжна рада,
36,51.4897533,23.9297586,Молодіжна рада Шацької селищної ради,https://www.facebook.com/molodizhna.rada.shatska/
37,48.5146140,34.6112440,Молодіжна рада місто Кам'янське,
38,49.7780330,32.0317280,"Молодіжна рада ""Майбутнє Драбівець""",
39,51.5193580,32.5008360,Молодіжна рада Сосницької ОТГ,
40,47.6763680,33.2190080,Молодіжна Рада Широківської ОТГ,
41,50.2409990,25.7643260,Смизька Молодіжна Рада,
42,47.8588130,35.1836010,Запорізька обласна студентська рада,
43,49.6651270,32.0380800,Золотоніська молодіжна рада,
44,51.5196810,30.7342990,"Молодіжна рада ""Майбутнє Славутича""",
45,49.8182064,36.0630520,Молодіжна рада Мереф'янської громади,
46,49.2659730,24.6273970,Бурштинська Молодіжна Рада,https://www.facebook.com/groups/251616878703310/?ref=bookmarks
47,50.8076630,27.3120750,Городницька молодіжна рада,
48,46.4516980,30.7199880,Молодіжна рада при Одеському міському голові,nycukraine.org
49,49.8462850,23.9799890,Львівська молодіжна рада,zapytivsad.lvivedu.com
50,51.4907150,31.2959700,Чернігівська молодіжна рада,chernigiv-rada.gov.ua
51,50.0119270,32.9886590,Молодіжна рада Лубен,http://m-lubnyrada.com.ua/
52,49.5454140,25.6010980,Молодіжна Міська Рада Тернополя,https://moemisto.ua/te/molodizhna-miska-rada-ternopil-organization
53,47.8542440,35.1499390,Запорізька молодіжна міська рада,https://zp.gov.ua/uk/page/zaporizka-molodizhna-miska-rada
54,49.2323400,28.4684260,Вінницька молодіжна рада,vmr.gov.ua
55,46.9582470,31.9778320,Рада з питань молодіжної політики при  Миколаївському міському голові,mkrada.gov.ua
56,50.2538360,28.6655200,Молодіжна рада Житомира,molod.zt.ua
57,47.4207310,30.9871280,"Молодіжна рада ""Кульбаба""",https://www.facebook.com/kulbaba.molodrada/
58,48.1414530,33.7598510,"Молодіжна рада ""Агент змін""",https://www.facebook.com/groups/agentzmin/
59,51.5061540,31.2838790,Молодіжна рада при Чернігівському міському голові,https://www.facebook.com/mrchernihiv/?epa=SEARCH_BOX
60,46.8473640,35.3820140,Молодіжний парламент Мелітополя,http://mlt.gov.ua/index.php?option=com_content&task=blogcategory&id=218&Itemid=529
61,50.4266896,25.3394224,Молодіжна рада при Демидівській селищній раді,https://demydivska-gromada.gov.ua/molodizhna-rada-22-34-38-22-06-2018/
